"No.","Time","Source","Destination","Protocol","Length","Info"
"208","517.995377","::1","::1","TCP","74","445  >  11913 [ACK] Seq=3815 Ack=3582 Win=529152 Len=0"
"209","517.995475","::1","::1","SMB2","318","Create Response File: Users\\Diya"
"210","517.995500","::1","::1","TCP","74","11913  >  445 [ACK] Seq=3582 Ack=4059 Win=528896 Len=0"
"211","517.995546","::1","::1","SMB2","182","GetInfo Request FILE_INFO/SMB2_FILE_STANDARD_INFO File: Users\\Diya"
"212","517.995569","::1","::1","TCP","74","445  >  11913 [ACK] Seq=4059 Ack=3690 Win=529152 Len=0"
"213","517.995588","::1","::1","SMB2","174","GetInfo Response"
"214","517.995615","::1","::1","TCP","74","11913  >  445 [ACK] Seq=3690 Ack=4159 Win=528640 Len=0"
"215","517.995689","::1","::1","SMB2","166","Close Request File: Users\\Diya"
"216","517.995719","::1","::1","TCP","74","445  >  11913 [ACK] Seq=4159 Ack=3782 Win=528896 Len=0"
"217","517.995760","::1","::1","SMB2","202","Close Response"
"218","517.995784","::1","::1","TCP","74","11913  >  445 [ACK] Seq=3782 Ack=4287 Win=528640 Len=0"
"219","517.995917","::1","::1","SMB2","270","Create Request File: Users\\Diya"
"220","517.995946","::1","::1","TCP","74","445  >  11913 [ACK] Seq=4287 Ack=3978 Win=528896 Len=0"
"221","517.996038","::1","::1","SMB2","318","Create Response File: Users\\Diya"
"222","517.996063","::1","::1","TCP","74","11913  >  445 [ACK] Seq=3978 Ack=4531 Win=529920 Len=0"
"223","517.996120","::1","::1","SMB2","182","GetInfo Request FILE_INFO/SMB2_FILE_STANDARD_INFO File: Users\\Diya"
"224","517.996143","::1","::1","TCP","74","445  >  11913 [ACK] Seq=4531 Ack=4086 Win=528640 Len=0"
"225","517.996161","::1","::1","SMB2","174","GetInfo Response"
"226","517.996183","::1","::1","TCP","74","11913  >  445 [ACK] Seq=4086 Ack=4631 Win=529664 Len=0"
"227","517.996253","::1","::1","SMB2","166","Close Request File: Users\\Diya"
"228","517.996282","::1","::1","TCP","74","445  >  11913 [ACK] Seq=4631 Ack=4178 Win=528640 Len=0"
"229","517.996323","::1","::1","SMB2","202","Close Response"
"230","517.996347","::1","::1","TCP","74","11913  >  445 [ACK] Seq=4178 Ack=4759 Win=529664 Len=0"
"231","517.996454","::1","::1","SMB2","270","Create Request File: Users\\Diya"
"232","517.996483","::1","::1","TCP","74","445  >  11913 [ACK] Seq=4759 Ack=4374 Win=528384 Len=0"
"233","517.996575","::1","::1","SMB2","318","Create Response File: Users\\Diya"
"234","517.996604","::1","::1","TCP","74","11913  >  445 [ACK] Seq=4374 Ack=5003 Win=529408 Len=0"
"235","517.996646","::1","::1","SMB2","182","GetInfo Request FILE_INFO/SMB2_FILE_STANDARD_INFO File: Users\\Diya"
"236","517.996677","::1","::1","TCP","74","445  >  11913 [ACK] Seq=5003 Ack=4482 Win=529920 Len=0"
"237","517.996697","::1","::1","SMB2","174","GetInfo Response"
"238","517.996716","::1","::1","TCP","74","11913  >  445 [ACK] Seq=4482 Ack=5103 Win=529152 Len=0"
"239","517.996787","::1","::1","SMB2","166","Close Request File: Users\\Diya"
"240","517.996816","::1","::1","TCP","74","445  >  11913 [ACK] Seq=5103 Ack=4574 Win=529664 Len=0"
"241","517.996857","::1","::1","SMB2","202","Close Response"
"242","517.996881","::1","::1","TCP","74","11913  >  445 [ACK] Seq=4574 Ack=5231 Win=529152 Len=0"
"243","517.996995","::1","::1","SMB2","262","Create Request File: Users"
"244","517.997024","::1","::1","TCP","74","445  >  11913 [ACK] Seq=5231 Ack=4762 Win=529408 Len=0"
"245","517.997069","::1","::1","SMB2","150","Create Response, Error: STATUS_FILE_IS_A_DIRECTORY"
"246","517.997093","::1","::1","TCP","74","11913  >  445 [ACK] Seq=4762 Ack=5307 Win=528896 Len=0"
"247","517.997193","::1","::1","SMB2","262","Create Request File: Users"
"248","517.997223","::1","::1","TCP","74","445  >  11913 [ACK] Seq=5307 Ack=4950 Win=529408 Len=0"
"249","517.997311","::1","::1","SMB2","318","Create Response File: Users"
"250","517.997336","::1","::1","TCP","74","11913  >  445 [ACK] Seq=4950 Ack=5551 Win=528896 Len=0"
"251","517.997381","::1","::1","SMB2","182","GetInfo Request FILE_INFO/SMB2_FILE_STANDARD_INFO File: Users"
"252","517.997404","::1","::1","TCP","74","445  >  11913 [ACK] Seq=5551 Ack=5058 Win=529152 Len=0"
"253","517.997422","::1","::1","SMB2","174","GetInfo Response"
"254","517.997443","::1","::1","TCP","74","11913  >  445 [ACK] Seq=5058 Ack=5651 Win=528640 Len=0"
"255","517.997526","::1","::1","SMB2","166","Close Request File: Users"
"256","517.997556","::1","::1","TCP","74","445  >  11913 [ACK] Seq=5651 Ack=5150 Win=529152 Len=0"
"257","517.997597","::1","::1","SMB2","202","Close Response"
"258","517.997624","::1","::1","TCP","74","11913  >  445 [ACK] Seq=5150 Ack=5779 Win=528640 Len=0"
"259","517.997721","::1","::1","SMB2","262","Create Request File: Users"
"260","517.997751","::1","::1","TCP","74","445  >  11913 [ACK] Seq=5779 Ack=5338 Win=528896 Len=0"
"261","517.997834","::1","::1","SMB2","318","Create Response File: Users"
